CollectionCode,HMS,StructuredFormula,StructureType,Title
240849,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240850,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240851,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240853,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240854,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240855,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240856,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240857,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240858,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
240859,F d -3 m Z,(Fe2 Mg) O4,Spinel#MgAl2O4,"Cation ordering in magnesioferrite, Mg Fe2 O4, to 982 C using in situ synchrotron X-ray powder diffraction"
241416,F d -3 m Z,Li (Ni0.5 Mn1.5) O4,Spinel#MgAl2O4,Operando neutron powder diffraction using cylindrical cell design: the case of Li Ni0.5 Mn1.5 O4 vs graphite
241658,F d -3 m Z,(Fe0.97 Co0.03) (Fe1.03 Co0.57 Ni0.4) O4,Spinel#MgAl2O4,Study of the crystallographic and magnetic structure in the nickel substituted cobalt ferrites by neutron diffraction
241659,F d -3 m Z,(Fe0.98 Co0.02) (Fe1.02 Co0.38 Ni0.6) O4,Spinel#MgAl2O4,Study of the crystallographic and magnetic structure in the nickel substituted cobalt ferrites by neutron diffraction
241660,F d -3 m Z,(Fe0.95 Ni0.05) (Fe1.05 Co0.2 Ni0.75) O4,Spinel#MgAl2O4,Study of the crystallographic and magnetic structure in the nickel substituted cobalt ferrites by neutron diffraction
241661,F d -3 m Z,(Fe0.63 Ni0.37) (Fe1.37 Ni0.63) O4,Spinel#MgAl2O4,Study of the crystallographic and magnetic structure in the nickel substituted cobalt ferrites by neutron diffraction
243409,F d -3 m Z,Al2.22 Mg0.77 O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
243410,F d -3 m Z,(Al1.9 Cr0.1) (Al0.2 Mg0.8) O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
243411,F d -3 m Z,(Al1.49 Cr0.51) Mg O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
243412,F d -3 m Z,(Al1.05 Cr0.95) Mg O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
243413,F d -3 m Z,(Al0.95 Cr1.05) Mg O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
243414,F d -3 m Z,(Al0.79 Cr1.21) Mg O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
243415,F d -3 m Z,(Al0.42 Cr1.58) Mg O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
243416,F d -3 m Z,(Al0.32 Cr1.68) Mg O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
243417,F d -3 m Z,Cr2 Mg O4,Spinel#MgAl2O4,Chromium influence on Mg-Al intracrystalline exchange in spinels and geothermometric implications
