CollectionCode,HMS,StructuredFormula,StructureType,Title
844,F d -3 m S,Fe2 (Si O4),Spinel#MgAl2O4,Electron-density distributions in crystals of gamma-Fe2 Si O4 and gamma-Co2 Si O4
845,F d -3 m S,Co2 (Si O4),Spinel#MgAl2O4,Electron-density distributions in crystals of gamma-Fe2 Si O4 and gamma-Co2 Si O4
859,F d -3 m S,Co2 (Si O4),Spinel#MgAl2O4,Electron-density distributions in crystals of gamma-Fe2 Si O4 and gamma-Co2 Si O4
1619,F d -3 m S,Al2 Co O4,Spinel#MgAl2O4,Electron-density distribution in crystals of  Co Al2 O4
2133,F d -3 m S,Na2 (W O4),Spinel#MgAl2O4,Sodium tungstate
2136,F d -3 m S,Ni2 Si O4,Spinel#MgAl2O4,Electron-density distribution in crystals of gamma N Si O4
3056,F d -3 m Z,Mg Cr2 S4,Spinel#MgAl2O4,Synthesis and characterization of MgCr2S4 thiospinel as a potential magnesium cathode
4337,F d -3 m S,Ni2 (Si O4),Spinel#MgAl2O4,Structure refinement of high pressure Ni2 Si O4 spinel
4806,F d -3 m Z,Mg Ga2 O4,Spinel#MgAl2O4,Interplay of cation ordering and thermoelastic properties of spinel structure MgGa2O4
4807,F d -3 m Z,Mg Ga2 O4,Spinel#MgAl2O4,Interplay of cation ordering and thermoelastic properties of spinel structure MgGa2O4
4808,F d -3 m Z,Mg Ga2 O4,Spinel#MgAl2O4,Interplay of cation ordering and thermoelastic properties of spinel structure MgGa2O4
4809,F d -3 m Z,Mg Ga2 O4,Spinel#MgAl2O4,Interplay of cation ordering and thermoelastic properties of spinel structure MgGa2O4
4810,F d -3 m Z,Mg Ga2 O4,Spinel#MgAl2O4,Interplay of cation ordering and thermoelastic properties of spinel structure MgGa2O4
4811,F d -3 m Z,Mg Ga2 O4,Spinel#MgAl2O4,Interplay of cation ordering and thermoelastic properties of spinel structure MgGa2O4
4812,F d -3 m Z,Mg Ga2 O4,Spinel#MgAl2O4,Interplay of cation ordering and thermoelastic properties of spinel structure MgGa2O4
5297,F d -3 m Z,Fe2.2 Ti0.8 O4,Spinel#MgAl2O4,"Spinels renaissance: The past, present, and future of those ubiquitous minerals ans materials. Static positional disorder in ulvoespinel: A single-crystal neutron diffraction study"
5298,F d -3 m Z,Fe2.2 Ti0.8 O4,Spinel#MgAl2O4,"Spinels renaissance: The past, present, and future of those ubiquitous minerals ans materials. Static positional disorder in ulvoespinel: A single-crystal neutron diffraction study"
5299,F d -3 m Z,Fe2.14 Ti0.86 O4,Spinel#MgAl2O4,"Spinels renaissance: The past, present, and future of those ubiquitous minerals ans materials. Static positional disorder in ulvoespinel: A single-crystal neutron diffraction study"
5590,F d -3 m Z,Co (V0.975 Co0.025)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5591,F d -3 m Z,Co (V0.975 Co0.025)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5594,F d -3 m Z,Co (V0.9 Co0.1)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5595,F d -3 m Z,Co (V0.9 Co0.1)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5596,F d -3 m Z,Co (V0.9 Co0.1)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5598,F d -3 m Z,Co (V0.75 Co0.25)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5599,F d -3 m Z,Co (V0.75 Co0.25)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5600,F d -3 m Z,Co (V0.75 Co0.25)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5601,F d -3 m Z,Co (V0.75 Co0.25)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5602,F d -3 m Z,Co (V0.97 Co0.03)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5603,F d -3 m Z,Co (V0.97 Co0.03)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5606,F d -3 m Z,Co (V0.9 Co0.1)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5607,F d -3 m Z,Co (V0.9 Co0.1)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5610,F d -3 m Z,Co (V0.8 Co0.2)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5611,F d -3 m Z,Co (V0.8 Co0.2)2 O4,Spinel#MgAl2O4,Phase transitions with extremely small tetragonal distortion in substitution systems of CoV$_2$O$_4$ by high-angular-resolution synchrotron powder diffraction
5961,F d -3 m Z,(Mg0.855 Al0.138 Fe0.006) (Al1.861 Mg0.138 Fe0.001 V0.001) O4,Spinel#MgAl2O4,Color mechanisms in spinel: a multi-analytical investigation of natural crystals with a wide range of coloration
5962,F d -3 m Z,(Mg0.857 Al0.126 Fe0.017 Mn0.002) (Al1.861 Mg0.12 Fe0.015 V0.001) O4,Spinel#MgAl2O4,Color mechanisms in spinel: a multi-analytical investigation of natural crystals with a wide range of coloration
5963,F d -3 m Z,(Zn0.88 Fe0.096 Mn0.014 Al0.01 Mg0.001) (Al1.938 Fe0.062) O4,Spinel#MgAl2O4,Color mechanisms in spinel: a multi-analytical investigation of natural crystals with a wide range of coloration
5965,F d -3 m Z,(Mg0.785 Fe0.091 Al0.11 Zn0.01 Mn0.001) (Al1.868 Mg0.110 Fe0.021) O4,Spinel#MgAl2O4,Color mechanisms in spinel: a multi-analytical investigation of natural crystals with a wide range of coloration
5966,F d -3 m Z,(Mg0.838 Al0.083 Fe0.062 Zn0.006 Mn0.004) (Al1.870 Mg0.104 Fe0.02 Ti0.001) O4,Spinel#MgAl2O4,Color mechanisms in spinel: a multi-analytical investigation of natural crystals with a wide range of coloration
5967,F d -3 m Z,(Zn0.839 Fe0.08 Mg0.056 Al0.024 Mn0.001) (Al1.914 Fe0.05 V0.001) O4,Spinel#MgAl2O4,Color mechanisms in spinel: a multi-analytical investigation of natural crystals with a wide range of coloration
5968,F d -3 m Z,(Mg0.826 Al0.116 Fe0.04 Zn0.004 Mn0.003) (Al1.863 Mg0.105 Fe0.033) O4,Spinel#MgAl2O4,Color mechanisms in spinel: a multi-analytical investigation of natural crystals with a wide range of coloration
5990,F d -3 m Z,Co2 Ti O4,Spinel#MgAl2O4,Neutron diffraction study of the inverse spinels Co$_2$TiO$_4$ and Co$_2$SnO$_4$
6003,F d -3 m Z,Mg1.015 V1.942 O4,Spinel#MgAl2O4,Implications of including a magnetic ion (Cr$^{3+}$ and Fe$^{3+}$) at the vanadium site in a geometrically frustrated spinel MgV$_2$O$_4$: magnetic and catalytic properties
6249,F d -3 m S,Fe2 (Si O4),Spinel#MgAl2O4,Crystal structures of spinel polymorphs of Fe2 Si O4 and Ni2 Si O4
8134,F d -3 m S,Ni2 Si O4,Spinel#MgAl2O4,Crystal structures of spinel polymorphs of Fe2 Si O4 and Ni2 Si O4
8405,F d -3 m Z,Li1.1 Co0.96 Mn0.94 O4,Spinel#MgAl2O4,A novel synthetic route of micrometer-sized LiCoMnO$_4$ as 5 V cathode material for advanced lithium ion batteries
8406,F d -3 m Z,Li Co Mn O4,Spinel#MgAl2O4,A novel synthetic route of micrometer-sized LiCoMnO$_4$ as 5 V cathode material for advanced lithium ion batteries
9394,F d -3 m S,Zn Ga2 O4,Spinel#MgAl2O4,The oxygen parameter of the spinel Zn Ga2 O4
