CollectionCode,HMS,StructuredFormula,StructureType,Title
180670,F d -3 m S,Zn1.1 (Ti0.075 Zr0.025) Fe1.8 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180671,F d -3 m S,Zn1.7 (Ti0.467 Zr0.233) Fe0.6 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180672,F d -3 m S,Zn1.6 (Ti0.4 Zr0.2) Fe0.8 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180673,F d -3 m S,Zn1.5 (Ti0.333 Zr0.167) Fe O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180674,F d -3 m S,Zn1.4 (Ti0.267 Zr0.133) Fe1.2 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180675,F d -3 m S,Zn1.3 (Ti0.2 Zr0.1) Fe1.4 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180676,F d -3 m S,Zn1.2 (Ti0.133 Zr0.067) Fe1.6 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180677,F d -3 m S,Zn1.4 (Ti0.2 Zr0.2) Fe1.2 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180678,F d -3 m S,Zn1.3 (Ti0.15 Zr0.15) Fe1.4 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180679,F d -3 m S,Zn1.2 (Ti0.1 Zr0.1) Fe1.6 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180680,F d -3 m S,Zn1.1 (Ti0.05 Zr0.05) Fe1.8 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180681,F d -3 m S,Zn1.3 (Ti0.1 Zr0.2) Fe1.4 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180682,F d -3 m S,Zn1.2 (Ti0.067 Zr0.133) Fe1.6 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180683,F d -3 m S,Zn1.1 (Ti0.033 Zr0.067) Fe1.8 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180684,F d -3 m S,Zn1.3 (Ti0.075 Zr0.225) Fe1.4 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180685,F d -3 m S,Zn1.2 (Ti0.05 Zr0.15) Fe1.6 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180686,F d -3 m S,Zn1.1 (Ti0.025 Zr0.075) Fe1.8 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180687,F d -3 m S,Zn1.3 (Ti0.06 Zr0.24) Fe1.4 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180688,F d -3 m S,Zn1.2 (Ti0.04 Zr0.16) Fe1.6 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180689,F d -3 m S,Zn1.1 (Ti0.02 Zr0.08) Fe1.8 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180690,F d -3 m S,Zn1.3 (Ti0.05 Zr0.25) Fe1.4 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180691,F d -3 m S,Zn1.2 (Ti0.033 Zr0.167) Fe1.6 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180692,F d -3 m S,Zn1.1 (Ti0.017 Zr0.083) Fe1.8 O4,Spinel#MgAl2O4,X-ray diffraction study of multicomponent oxides in the Zn2-x (Tia Zrb)1-x  Fe2x O4 system
180755,F d -3 m Z,Co (Fe1.7 Al0.3) O4,Spinel#MgAl2O4,Influence of Al(3+) ion concentration on the crystal structure and magnetic anisotropy of nanocrystalline spinel cobalt ferrite
181111,F d -3 m Z,Ni Mn2 O4,Spinel#MgAl2O4,Microstructural and electrical changes in nickel manganite powder induced by mechanical activation
181112,F d -3 m Z,Ni Mn2 O4,Spinel#MgAl2O4,Microstructural and electrical changes in nickel manganite powder induced by mechanical activation
181843,F d -3 m Z,(Zn0.865 Fe0.135) (Zn0.135 Fe1.865) O4,Spinel#MgAl2O4,Synthesis and characterization of nanocrystalline Zn ferrites substituted with Ni
181844,F d -3 m Z,(Zn0.754 Ni0.041 Fe0.205) (Zn0.046 Ni0.159 Fe1.795) O4,Spinel#MgAl2O4,Synthesis and characterization of nanocrystalline Zn ferrites substituted with Ni
181845,F d -3 m Z,(Zn0.556 Ni0.035 Fe0.409) (Zn0.044 Ni0.365 Fe1.591) O4,Spinel#MgAl2O4,Synthesis and characterization of nanocrystalline Zn ferrites substituted with Ni
181846,F d -3 m Z,(Zn0.364 Ni0.150 Fe0.486) (Zn0.036 Ni0.45 Fe1.514) O4,Spinel#MgAl2O4,Synthesis and characterization of nanocrystalline Zn ferrites substituted with Ni
181847,F d -3 m Z,(Zn0.14 Ni0.06 Fe0.80) (Zn0.06 Ni0.74 Fe1.20) O4,Spinel#MgAl2O4,Synthesis and characterization of nanocrystalline Zn ferrites substituted with Ni
181848,F d -3 m Z,Fe (Ni Fe) O4,Spinel#MgAl2O4,Synthesis and characterization of nanocrystalline Zn ferrites substituted with Ni
182717,F d -3 m S,Li Mn2 O4,Spinel#MgAl2O4,Diffuse neutron scattering calculation of spinel structure of Li Mn2 O4
182859,F d -3 m Z,Mg Al2 O4,Spinel#MgAl2O4,The spinel Mg Al2 O4: peculiarities of the atomic and electronic structure deduced from precision X-ray diffraction data
182860,F d -3 m Z,(Fe0.95 Mg0.05) (Al1.90 Fe0.10) O4,Spinel#MgAl2O4,Chemical bonds and cation-cation interaction in hercynite (Fe0.95 Mg0.05) (Al1.90 Fe0.10) O4 deduced from precise X-ray diffraction data
182947,F d -3 m Z,Li (Ni0.5 Mn1.5) O4,Spinel#MgAl2O4,"Electronic, structural and electrochemical properties of Li Nix Cuy Mn2-x-y O4 (0<x<0.5, 0<y<0.5) high-voltage spinel materials"
182949,F d -3 m Z,Li (Ni0.45 Mn1.55) O4,Spinel#MgAl2O4,"Electronic, structural and electrochemical properties of Li Nix Cuy Mn2-x-y O4 (0<x<0.5, 0<y<0.5) high-voltage spinel materials"
182950,F d -3 m Z,(Li0.988 Cu0.012) (Ni0.45 Cu0.038 Li0.012 Mn1.5) O4,Spinel#MgAl2O4,"Electronic, structural and electrochemical properties of Li Nix Cuy Mn2-x-y O4 (0<x<0.5, 0<y<0.5) high-voltage spinel materials"
182951,F d -3 m Z,(Li0.96 Cu0.04) (Ni0.4 Cu0.06 Li0.04 Mn1.5) O4,Spinel#MgAl2O4,"Electronic, structural and electrochemical properties of Li Nix Cuy Mn2-x-y O4 (0<x<0.5, 0<y<0.5) high-voltage spinel materials"
182952,F d -3 m Z,(Li0.867 Cu0.133) (Ni0.25 Cu0.117 Li0.133 Mn1.5) O4,Spinel#MgAl2O4,"Electronic, structural and electrochemical properties of Li Nix Cuy Mn2-x-y O4 (0<x<0.5, 0<y<0.5) high-voltage spinel materials"
182953,F d -3 m Z,(Li0.888 Cu0.112) (Cu0.388 Li0.112 Mn1.5) O4,Spinel#MgAl2O4,"Electronic, structural and electrochemical properties of Li Nix Cuy Mn2-x-y O4 (0<x<0.5, 0<y<0.5) high-voltage spinel materials"
183091,F d -3 m Z,(Zn0.87 Sn0.048) Cr2.02 Se4,Spinel#MgAl2O4,X-ray and magnetic investigations of the polycrystalline compounds with general formula Znx Sny Crz Se4
184063,F d -3 m Z,Co Fe2 O4,Spinel#MgAl2O4,"Dielectric relaxation behavior of Ax Co1-x Fe2 O4 (A= Zn, Mg) mixed ferrites"
184064,F d -3 m Z,Co0.5 Zn0.5 Fe2 O4,Spinel#MgAl2O4,"Dielectric relaxation behavior of Ax Co1-x Fe2 O4 (A= Zn, Mg) mixed ferrites"
184065,F d -3 m Z,Co0.5 Mg0.5 Fe2 O4,Spinel#MgAl2O4,"Dielectric relaxation behavior of Ax Co1-x Fe2 O4 (A= Zn, Mg) mixed ferrites"
184159,F d -3 m Z,(Mn0.5 Zn0.5) Fe2 O4,Spinel#MgAl2O4,"Effect of Ni concentration on electromagnetic wave absorption of (Ni, Mn, Zn) Fe2 O4/resin particulate composites"
184160,F d -3 m Z,(Ni0.12 Mn0.38 Zn0.5) Fe2 O4,Spinel#MgAl2O4,"Effect of Ni concentration on electromagnetic wave absorption of (Ni, Mn, Zn) Fe2 O4/resin particulate composites"
184161,F d -3 m Z,(Ni0.245 Mn0.255 Zn0.5) Fe2 O4,Spinel#MgAl2O4,"Effect of Ni concentration on electromagnetic wave absorption of (Ni, Mn, Zn) Fe2 O4/resin particulate composites"
184162,F d -3 m Z,(Ni0.375 Mn0.125 Zn0.5) Fe2 O4,Spinel#MgAl2O4,"Effect of Ni concentration on electromagnetic wave absorption of (Ni, Mn, Zn) Fe2 O4/resin particulate composites"
184163,F d -3 m Z,(Ni0.5 Zn0.5) Fe2 O4,Spinel#MgAl2O4,"Effect of Ni concentration on electromagnetic wave absorption of (Ni, Mn, Zn) Fe2 O4/resin particulate composites"
184951,F d -3 m Z,Cu Fe2 O4,Spinel#MgAl2O4,Novel structural and magnetic properties of Mg doped copper nanoferrites prepared by conventional and wet methods
184952,F d -3 m Z,(Cu0.9 Mg0.1) Fe2 O4,Spinel#MgAl2O4,Novel structural and magnetic properties of Mg doped copper nanoferrites prepared by conventional and wet methods
184953,F d -3 m Z,(Cu0.8 Mg0.2) Fe2 O4,Spinel#MgAl2O4,Novel structural and magnetic properties of Mg doped copper nanoferrites prepared by conventional and wet methods
184954,F d -3 m Z,(Cu0.7 Mg0.3) Fe2 O4,Spinel#MgAl2O4,Novel structural and magnetic properties of Mg doped copper nanoferrites prepared by conventional and wet methods
184955,F d -3 m Z,(Cu0.6 Mg0.4) Fe2 O4,Spinel#MgAl2O4,Novel structural and magnetic properties of Mg doped copper nanoferrites prepared by conventional and wet methods
184956,F d -3 m Z,(Cu0.5 Mg0.5) Fe2 O4,Spinel#MgAl2O4,Novel structural and magnetic properties of Mg doped copper nanoferrites prepared by conventional and wet methods
184957,F d -3 m Z,(Cu0.4 Mg0.6) Fe2 O4,Spinel#MgAl2O4,Novel structural and magnetic properties of Mg doped copper nanoferrites prepared by conventional and wet methods
184984,F d -3 m Z,(Ni0.5 Cu0.5) Fe2 O4,Spinel#MgAl2O4,"Dielectric loss, conductivity relaxation process and magnetic properties of Mg substituted Ni-Cu ferrites"
184985,F d -3 m Z,(Ni0.5 Cu0.4 Mg0.1) Fe2 O4,Spinel#MgAl2O4,"Dielectric loss, conductivity relaxation process and magnetic properties of Mg substituted Ni-Cu ferrites"
184986,F d -3 m Z,(Ni0.5 Cu0.3 Mg0.2) Fe2 O4,Spinel#MgAl2O4,"Dielectric loss, conductivity relaxation process and magnetic properties of Mg substituted Ni-Cu ferrites"
184987,F d -3 m Z,(Ni0.5 Cu0.2 Mg0.3) Fe2 O4,Spinel#MgAl2O4,"Dielectric loss, conductivity relaxation process and magnetic properties of Mg substituted Ni-Cu ferrites"
184988,F d -3 m Z,(Ni0.5 Cu0.1 Mg0.4) Fe2 O4,Spinel#MgAl2O4,"Dielectric loss, conductivity relaxation process and magnetic properties of Mg substituted Ni-Cu ferrites"
184989,F d -3 m Z,(Ni0.5 Mg0.5) Fe2 O4,Spinel#MgAl2O4,"Dielectric loss, conductivity relaxation process and magnetic properties of Mg substituted Ni-Cu ferrites"
185238,F d -3 m Z,Li1.56 Mn1.39 O4,Spinel#MgAl2O4,Li Mn2 O4 nanocrystalline electrode materials
