CollectionCode,HMS,StructuredFormula,StructureType,Title
117262,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117263,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117264,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117265,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117266,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117267,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117268,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117269,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117270,F d -3 m Z,(Fe3 O4)0.5 (Mg Al2 O4)0.5,Spinel#MgAl2O4,In-situ neutron diffraction study of non-convergent cation ordering in the (Fe$_3$O$_4$)$_{1-x}$(MgAl$_2$O$_4$)$_x$ spinel solid solution
117326,F d -3 m Z,Fe3 O4,Spinel#MgAl2O4,"Substitution mechanisms and implications for the estimate of water fugacity for Ti-rich phlogopite from Mt. Vulture, Potenza, Italy"
117608,F d -3 m Z,Li1.06 Al0.44 Mn1.5 O4,Spinel#MgAl2O4,"Synthesis, characterization and electrochemical performance of Al-substituted Li$_2$MnO$_3$"
118122,F d -3 m Z,Zn Ga2 O4,Spinel#MgAl2O4,Synthesis and characterization of visible light absorbing (GaN)$_{1-x}$(ZnO)$_x$ semiconductor nanorods
118986,F d -3 m S,Mg Al2 O4,Spinel#MgAl2O4,Anharmonic thermal vibrations of atoms in MgAl$_2$O$_4$ spinel at temperatures up to 1933 K
118987,F d -3 m S,Mg Al2 O4,Spinel#MgAl2O4,Anharmonic thermal vibrations of atoms in MgAl$_2$O$_4$ spinel at temperatures up to 1933 K
118988,F d -3 m S,Mg Al2 O4,Spinel#MgAl2O4,Anharmonic thermal vibrations of atoms in MgAl$_2$O$_4$ spinel at temperatures up to 1933 K
118989,F d -3 m S,Mg Al2 O4,Spinel#MgAl2O4,Anharmonic thermal vibrations of atoms in MgAl$_2$O$_4$ spinel at temperatures up to 1933 K
119274,F d -3 m Z,Zn Fe2 O4,Spinel#MgAl2O4,Physicochemical properties of fine-particle ZnFe$_2$O$_4$ prepared by spray pyrolysis of nitrate solutions
119345,F d -3 m Z,Cd Cr1.8 In0.2 Se4,Spinel#MgAl2O4,Magnetic properties and spin-glass state of CdCr$_{2–x}$In$_x$Se$_4$ and Cd$_{1–y}$In$_y$Cr$_2$Se$_4$ solid solutions
119497,F d -3 m S,(Ag1.98 Eu0.02) Mo O4,Spinel#MgAl2O4,Tracking of structural defects induced by Eu-doping in β-Ag$_2$MoO$_4$: their influences on electrical properties
119498,F d -3 m S,(Ag1.98 Eu0.02) Mo O4,Spinel#MgAl2O4,Tracking of structural defects induced by Eu-doping in β-Ag$_2$MoO$_4$: their influences on electrical properties
119499,F d -3 m S,(Ag1.98 Eu0.02) Mo O4,Spinel#MgAl2O4,Tracking of structural defects induced by Eu-doping in β-Ag$_2$MoO$_4$: their influences on electrical properties
119500,F d -3 m S,(Ag1.98 Eu0.02) Mo O4,Spinel#MgAl2O4,Tracking of structural defects induced by Eu-doping in β-Ag$_2$MoO$_4$: their influences on electrical properties
121144,F d -3 m Z,Ni Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121145,F d -3 m Z,Ni0.75 Cu0.25 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121146,F d -3 m Z,Ni0.5 Cu0.5 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121147,F d -3 m Z,Ni0.25 Cu0.75 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121148,F d -3 m Z,Cu Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121149,F d -3 m Z,Cu0.75 Zn0.25 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121150,F d -3 m Z,Cu0.25 Zn0.75 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121151,F d -3 m Z,Cu0.5 Zn0.5 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121152,F d -3 m Z,Zn Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121153,F d -3 m Z,Zn0.75 Ni0.25 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121154,F d -3 m Z,Zn0.5 Ni0.5 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121155,F d -3 m Z,Zn0.25 Ni0.75 Al2 O4,Spinel#MgAl2O4,Cation exchange in Ni–Cu–Zn aluminate spinels revealed by EXAFS
121781,F d -3 m S,Mg2 Sn O4,Spinel#MgAl2O4,Disorder-induced broadband near-infrared persistent and photostimulated luminescence in Mg$_2$SnO$_4$:Cr$^{3+}$
122264,F d -3 m Z,Li Ni0.5 Mn1.3 Ti0.2 O4,Spinel#MgAl2O4,"Effect of chemical oxidation of spinel-type LiNi$_{0.5}$Mn$_{1.3}$Ti$_{0.2}$O$_4$ by soaking in HNO$_3$, HCl and H$_2$SO$_4$"
123825,F d -3 m Z,Mo Li2 O4,Spinel#MgAl2O4,"Chemistry, local molybdenum clustering, and electrochemistry in the Li$_{2+x}$Mo$_{1-x}$O$_3$ solid solutions"
124786,F d -3 m Z,Fe (Mg0.6 Co0.2 Cu0.2 Cr) O4,Spinel#MgAl2O4,Study of structural and optical properties of Cu-Cr substituted Mg-Co spinel ferrites for optoelectronic applications
124787,F d -3 m Z,Fe (Mg0.6 Co0.2 Cu0.2 Cr) O4,Spinel#MgAl2O4,Study of structural and optical properties of Cu-Cr substituted Mg-Co spinel ferrites for optoelectronic applications
