Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
AgAg2Te4,8.097650096478157,8.097650096478906,8.097650096479084,90.0000000000066,90.00000000000004,90.00000000000118,2192.160013503652,530.9786026626608,600,pass,pass,0.1939176925368139
AgAl2Te4,8.285307282214244,8.2853072822142,8.285307282214179,89.99999999999929,90.0,90.00000000000001,-2518.06320734012,568.7558281547083,37,pass,pass,0.0160990792976003
AgB2Te4,10.97278819184194,10.972788191842286,10.972788191841882,89.9999999999979,90.00000000000001,90.00000000000001,-193.94977381052647,1321.146529411398,163,pass,pass,0.0381523558724478
AgBi2Te4,10.758356364173016,10.744069312148408,10.740997867579274,89.9810482403069,89.92785163468379,89.90711974713484,48.77028154224868,1241.5334335482146,600,pass,pass,3.828352580154301
AgCe2Te4,9.71714409168776,9.717144091688342,9.717144091687825,90.00000000000028,90.00000000000018,89.99999999999991,113.2481494523555,917.5208208682571,150,pass,pass,0.0462677476358643
AgCo2Te4,8.526984418884362,8.526984418884565,8.526984418884448,90.00000000000082,90.00000000000001,90.00000000000001,-90.03705466289483,619.9924604931443,95,pass,pass,0.0421851874851689
AgCr2Te4,8.23160625363659,8.231606234351652,8.231606258212597,90.00000079498115,90.00000025321465,90.00000138467955,-3899.003806641249,557.7682183597541,600,pass,pass,7.418768312266159
AgCu2Te4,8.035742443840563,8.035742443840876,8.035742443840654,90.00000000000347,89.99999999999986,89.99999999999986,339.2578671600991,518.8932554141841,83,pass,pass,0.0225501012981367
AgDy2Te4,12.516225190969127,12.516225190970776,12.516225190970486,89.99999999999902,89.99999999999996,89.99999999999994,-256.73309361376374,1960.7404346694643,244,pass,pass,0.0401132423108784
AgEr2Te4,12.483979155970571,12.4839791559728,12.483979155970973,89.99999999998572,89.99999999999983,89.99999999999994,-255.5147376712164,1945.6248502787128,240,pass,pass,0.0396670161083322
AgEu2Te4,10.093214647159725,10.09088707703587,10.088782901782682,89.78259793380096,89.91005089396326,90.06601873613032,100.38827685313754,1027.5280333767391,600,pass,pass,3.664719827160994
AgFe2Te4,11.169273377339774,11.169273377339774,11.169273377339312,90.0000000000099,90.00000000000729,90.00000000000078,-258.7091567617307,1393.3966509620907,196,pass,pass,0.0299140349030836
AgGa2Te4,9.274925081347536,9.268822301117057,9.338213842418046,89.88501940717218,90.09649060056316,89.25894975578794,-272386.25711540855,802.7142001363408,600,pass,fail,364886.3215073808
AgGd2Te4,12.597320718273988,12.59732071827231,12.597320718275896,89.99999999999996,90.00000000000003,90.00000000000004,-409.43889957127647,1999.1001830295504,245,pass,pass,0.0493900468113515
AgGe2Te4,8.11933461970576,8.125196906605657,8.127906616327358,90.01233931076591,89.99429578404155,90.01797249272705,-14109.940983090915,536.2076508296124,600,pass,pass,228.67953640348657
